developers,publishers,categories,genres,required_age,n_achievements,platforms,is_released,total_reviews,total_positive,total_negative,positive_percentual,metacritic,is_free,price_initial (USD),label_positive,release_year
['Catnip Lab'],['Catnip Lab'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Leaderboards', 'Remote Play Together', 'Family Sharing']","['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Racing']",0,20,['windows'],True,6,5,1,83.3,0,False,11.99,1,
['Flocons Studio'],['Flocons Studio'],"['Single-player', 'Family Sharing']","['Action', 'Indie']",0,0,['windows'],True,2,2,0,100.0,0,False,2.99,1,
['2024-NGame'],['2024-NGame'],"['Single-player', 'Family Sharing']","['Indie', 'RPG']",0,0,['windows'],True,2,1,1,50.0,0,False,1.99,0,
['南柯一梦'],['七彩绘色游戏'],"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']","['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Strategy']",0,31,['windows'],True,4,4,0,100.0,0,False,1.99,1,
"[""Chilla's Art""]","[""Chilla's Art""]","['Single-player', 'Steam Achievements', 'Family Sharing']",['Indie'],0,9,['windows'],True,187,154,33,82.4,0,False,5.99,1,
['Magic Dragon Games'],['Magic Dragon Games'],"['Multi-player', 'Co-op', 'Online Co-op', 'Family Sharing']","['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",0,0,['windows'],True,1,0,1,0.0,0,False,0.99,0,
['Johnson Studios'],['Johnson Studios'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Family Sharing']","['Action', 'Adventure', 'Casual', 'Indie']",0,2,['windows'],True,2,1,1,50.0,0,False,7.99,0,
['Archor Wright'],['Archor Games'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Partial Controller Support', 'Family Sharing']",['Racing'],0,0,['windows'],True,13,11,2,84.6,0,False,0.99,1,
['EroticGamesClub'],['EroticGamesClub'],"['Single-player', 'Steam Achievements', 'Steam Leaderboards', 'Family Sharing']","['Adventure', 'Casual', 'Indie']",0,2,"['windows', 'mac', 'linux']",True,1,1,0,100.0,0,False,2.99,1,
['Bad Reaction Games'],['Bad Reaction Games'],"['Single-player', 'Steam Achievements', 'Family Sharing']","['Action', 'Adventure', 'Indie']",0,20,['windows'],True,9,9,0,100.0,0,False,7.99,1,
